1,1,0.01639344262295082,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
7,2,0.11475409836065574,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
8,1,0.13114754098360656,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
8,2,0.13114754098360656,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
9,1,0.14754098360655737,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
9,2,0.14754098360655737,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
10,1,0.16393442622950818,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
10,2,0.16393442622950818,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
11,1,0.18032786885245902,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
11,2,0.18032786885245902,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
12,1,0.19672131147540983,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
12,2,0.19672131147540983,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
13,1,0.21311475409836064,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
13,2,0.21311475409836064,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
14,1,0.22950819672131148,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
14,2,0.22950819672131148,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
15,1,0.2459016393442623,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
15,2,0.2459016393442623,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
16,1,0.26229508196721313,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
16,2,0.26229508196721313,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
17,1,0.2786885245901639,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
17,2,0.2786885245901639,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
18,1,0.29508196721311475,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
18,2,0.29508196721311475,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
19,1,0.3114754098360656,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
19,2,0.3114754098360656,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
20,1,0.32786885245901637,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
20,2,0.32786885245901637,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
21,1,0.3442622950819672,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
21,2,0.3442622950819672,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
22,1,0.36065573770491804,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
22,2,0.36065573770491804,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
23,1,0.3770491803278688,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
23,2,0.3770491803278688,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
24,1,0.39344262295081966,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
24,2,0.39344262295081966,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
25,1,0.4098360655737705,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
25,2,0.4098360655737705,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
26,1,0.4262295081967213,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Fastfood Restaurant])
26,2,0.4262295081967213,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
27,1,0.4426229508196721,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Fastfood Restaurant])
27,2,0.4426229508196721,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
28,1,0.45901639344262296,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Fastfood Restaurant])
28,2,0.45901639344262296,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
29,1,0.47540983606557374,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Fastfood Restaurant])
29,2,0.47540983606557374,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
30,1,0.4918032786885246,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Parents, Partime Job: Restaurant])
30,2,0.4918032786885246,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Developer, Housing: Single Room, Partime Job: None])
31,1,0.5081967213114754,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Parents, Partime Job: Restaurant])
31,2,0.5081967213114754,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Manager, Housing: Single Room, Partime Job: None])
32,1,0.5245901639344263,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Parents, Partime Job: Restaurant])
32,2,0.5245901639344263,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: None])
33,1,0.5409836065573771,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Catering])
33,2,0.5409836065573771,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: None])
34,1,0.5573770491803278,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Parents, Partime Job: Fastfood Restaurant])
34,2,0.5573770491803278,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Engineer, Housing: Single Room, Partime Job: None])
35,1,0.5737704918032787,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Studio, Partime Job: Restaurant])
35,2,0.5737704918032787,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Supermarket])
36,1,0.5901639344262295,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: Engineer, Housing: Cave, Partime Job: Restaurant])
36,2,0.5901639344262295,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: Catering])
37,1,0.6065573770491803,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Studio, Partime Job: Fastfood Restaurant])
37,2,0.6065573770491803,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Under the bridge, Partime Job: None])
38,1,0.6229508196721312,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: Engineer, Housing: Cave, Partime Job: Fastfood Restaurant])
38,2,0.6229508196721312,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: EWI, Job Prospect: CEO, Housing: Single Room, Partime Job: None])
39,1,0.639344262295082,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: TBM, Faculty: TPM, Job Prospect: CEO, Housing: Studio, Partime Job: Restaurant])
39,2,0.639344262295082,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Under the bridge, Partime Job: None])
40,1,0.6557377049180327,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: Engineer, Housing: Cave, Partime Job: Catering])
40,2,0.6557377049180327,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: EWI, Job Prospect: Engineer, Housing: Single Room, Partime Job: None])
41,1,0.6721311475409836,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: House, Partime Job: Restaurant])
41,2,0.6721311475409836,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Under the bridge, Partime Job: None])
42,1,0.6885245901639344,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Studio, Partime Job: None])
42,2,0.6885245901639344,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: EWI, Job Prospect: Jobless, Housing: Single Room, Partime Job: Supermarket])
43,1,0.7049180327868853,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: Engineer, Housing: Parents, Partime Job: Supermarket])
43,2,0.7049180327868853,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: EWI, Job Prospect: CEO, Housing: Single Room, Partime Job: None])
44,1,0.7213114754098361,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: EWI, Job Prospect: CEO, Housing: Cave, Partime Job: Catering])
44,2,0.7213114754098361,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Supermarket])
45,1,0.7377049180327869,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Engineer, Housing: Cave, Partime Job: Supermarket])
45,2,0.7377049180327869,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Developer, Housing: Single Room, Partime Job: Supermarket])
46,1,0.7540983606557377,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: EWI, Job Prospect: CEO, Housing: Cave, Partime Job: None])
46,2,0.7540983606557377,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Developer, Housing: Single Room, Partime Job: None])
47,1,0.7704918032786885,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: EE, Faculty: TPM, Job Prospect: Jobless, Housing: Parents, Partime Job: Restaurant])
47,2,0.7704918032786885,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Developer, Housing: Single Room, Partime Job: Supermarket])
48,1,0.7868852459016393,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: TBM, Faculty: 3ME, Job Prospect: Engineer, Housing: Under the bridge, Partime Job: Restaurant])
48,2,0.7868852459016393,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
49,1,0.8032786885245902,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: EE, Faculty: TPM, Job Prospect: CEO, Housing: House, Partime Job: None])
49,2,0.8032786885245902,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Developer, Housing: Single Room, Partime Job: None])
50,1,0.819672131147541,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: TBM, Faculty: TPM, Job Prospect: Developer, Housing: Under the bridge, Partime Job: Restaurant])
50,2,0.819672131147541,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Manager, Housing: Single Room, Partime Job: None])
51,1,0.8360655737704918,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: TBM, Faculty: EWI, Job Prospect: Jobless, Housing: Cave, Partime Job: Supermarket])
51,2,0.8360655737704918,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Developer, Housing: Single Room, Partime Job: None])
52,1,0.8524590163934426,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: TI, Faculty: TPM, Job Prospect: Jobless, Housing: Under the bridge, Partime Job: Restaurant])
52,2,0.8524590163934426,KnutAgent@9,(Offer  bid:Bid[Study: TBM, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
53,1,0.8688524590163934,BoulwareNegotiationParty@8,(Accept  bid:Bid[Study: TBM, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
agreement,Bid[Study: TBM, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None],0.599937504343871,0.9264674379441822
